"USERID","snapshot_date","days_since_last_purchase","mean_gap","bds","predicted_npt","priority_score","risk_bucket","total_orders","orders_last_30","total_spend","avg_order_value","spend_last_30"
"17819","2021-01-13","2","2.0","1.0","9.74710044459605","0.10259461320668098","on_time","2","2","341.26","170.63","341.26"
"35189","2021-01-13","1","3.3333333333333335","0.3","7.794925334170737","0.03848657775910761","early","2","2","1860.52","930.26","1860.52"
"10334","2021-01-13","0","2.0","0.0","8.742693390327599","0.0","early","4","4","5825.71","1456.4275","5825.71"
"17818","2021-01-13","9","2.0","4.5","9.972963273205027","0.4512199510541091","high_delay","2","2","935.09","467.545","935.09"
"25376","2021-01-13","4","5.0","0.8","8.632796352757124","0.09266985659223825","on_time","2","2","1743.1","871.55","1743.1"
"35185","2021-01-13","0","12.0","0.0","11.003983199060968","0.0","early","2","2","1818.45","909.225","1818.45"
"3895","2021-01-13","3","3.0","1.0","8.386993285162378","0.11923224044654035","on_time","2","2","441.65","220.825","441.65"
"10330","2021-01-13","1","2.0","0.5","11.188056918536033","0.044690512717325846","early","2","2","1710.64","855.32","1710.64"
"12722","2021-01-13","2","4.0","0.5","8.69944914676877","0.05747490347543611","early","3","3","1956.7","652.2333333333333","1956.7"
"17817","2021-01-13","3","2.0","1.5","11.703126776236829","0.12817087507295455","mild_delay","3","3","1941.88","647.2933333333333","1941.88"
"21588","2021-01-13","2","9.0","0.2222222222222222","10.567681227433539","0.02102847516306006","early","2","2","1978.59","989.295","1978.59"
"25372","2021-01-13","3","7.0","0.42857142857142855","8.538530135173568","0.0501926469528958","early","2","2","143.68","71.84","143.68"
"29111","2021-01-13","10","2.0","5.0","8.97669061057394","0.5569981429582006","high_delay","2","2","2189.94","1094.97","2189.94"
"35178","2021-01-13","5","7.0","0.7142857142857143","8.216904178404524","0.08692881148145591","early","2","2","1336.0","668.0","1336.0"
"617","2021-01-13","0","12.0","0.0","11.713919450020033","0.0","early","2","2","1981.24","990.62","1981.24"
"3890","2021-01-13","8","1.5","5.333333333333333","7.819118743421286","0.6820888016083143","high_delay","3","3","1276.52","425.50666666666666","1276.52"
"4561","2021-01-13","5","1.0","5.0","11.460674982369362","0.43627447839606287","high_delay","2","2","3493.05","1746.525","3493.05"
"10321","2021-01-13","11","1.0","11.0","8.673352678898786","1.2682523595243238","high_delay","2","2","650.25","325.125","650.25"
"10906","2021-01-13","4","2.0","2.0","10.002021346872203","0.19995958123259086","high_delay","2","2","997.92","498.96","997.92"
"12719","2021-01-13","5","2.0","2.5","8.026973950724114","0.3114498708164457","high_delay","3","3","2015.96","671.9866666666667","2015.96"
"13399","2021-01-13","7","4.0","1.75","10.395914843603865","0.16833535348519094","mild_delay","2","2","1708.04","854.02","1708.04"
"17805","2021-01-13","10","1.0","10.0","9.942455997341225","1.0057877050372828","high_delay","3","3","2134.31","711.4366666666666","2134.31"
"18453","2021-01-13","9","3.0","3.0","9.655654217252112","0.3106987815118514","high_delay","2","2","2654.91","1327.455","2654.91"
"21584","2021-01-13","8","2.0","4.0","9.469101288067316","0.42242657231269487","high_delay","3","3","1903.09","634.3633333333333","1903.09"
"22269","2021-01-13","6","6.0","1.0","9.234819937512624","0.10828581464137865","on_time","2","2","545.13","272.565","545.13"
"25371","2021-01-13","2","5.0","0.4","8.773012011898137","0.04559437505129503","early","3","3","1635.98","545.3266666666667","1635.98"
